claim_text,source_file,source_cell_or_row,value
GEV block-maxima shape: Brent,/home/claude/writeup/repo/outputs/tables/evt_gev_block_maxima.csv,row=Brent,"gev_xi=0.121, loc=1.752, scale=0.695, n_blocks=139"
GEV block-maxima shape: WTI,/home/claude/writeup/repo/outputs/tables/evt_gev_block_maxima.csv,row=WTI,"gev_xi=0.214, loc=1.704, scale=0.621, n_blocks=139"
GEV block-maxima shape: Cedi,/home/claude/writeup/repo/outputs/tables/evt_gev_block_maxima.csv,row=Cedi,"gev_xi=0.565, loc=2.699, scale=2.318, n_blocks=139"
AIC-winning copula: Cocoa–Gold,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Cocoa–Gold,t)","family=t, AIC=-24.7848, loglik=14.3924, rho=0.0749, nu=13.6924, theta=nan"
AIC-winning copula: Cocoa–Brent,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Cocoa–Brent,gaussian)","family=gaussian, AIC=-25.0929, loglik=13.5464, rho=0.0948, nu=nan, theta=nan"
AIC-winning copula: Cocoa–WTI,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Cocoa–WTI,clayton)","family=clayton, AIC=-24.0773, loglik=13.0386, rho=nan, nu=nan, theta=0.091"
AIC-winning copula: Cocoa–Cedi,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Cocoa–Cedi,gaussian)","family=gaussian, AIC=1.6352, loglik=0.1824, rho=0.009, nu=nan, theta=nan"
AIC-winning copula: Gold–Brent,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Gold–Brent,t)","family=t, AIC=-39.298, loglik=21.649, rho=0.0768, nu=9.8506, theta=nan"
AIC-winning copula: Gold–WTI,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Gold–WTI,t)","family=t, AIC=-54.2555, loglik=29.1278, rho=0.0813, nu=7.9114, theta=nan"
AIC-winning copula: Gold–Cedi,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Gold–Cedi,clayton)","family=clayton, AIC=1.6882, loglik=0.1559, rho=nan, nu=nan, theta=0.0059"
AIC-winning copula: Brent–WTI,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Brent–WTI,t)","family=t, AIC=-6829.8183, loglik=3416.9091, rho=0.9449, nu=2.05, theta=nan"
AIC-winning copula: Brent–Cedi,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Brent–Cedi,t)","family=t, AIC=-1.6047, loglik=2.8023, rho=-0.0031, nu=40.6261, theta=nan"
AIC-winning copula: WTI–Cedi,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(WTI–Cedi,clayton)","family=clayton, AIC=1.6578, loglik=0.1711, rho=nan, nu=nan, theta=0.0062"
Cocoa-Cedi t-copula degenerate nu,/home/claude/writeup/repo/outputs/tables/copula_fits.csv,"row=(Cocoa-Cedi,t)",nu=9671192.27 (numerically -> Gaussian limit)
GoF survival: Cocoa–Gold,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=Cocoa–Gold,families_not_rejected_5pct=[]
GoF survival: Cocoa–Brent,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=Cocoa–Brent,families_not_rejected_5pct=[]
GoF survival: Cocoa–WTI,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=Cocoa–WTI,families_not_rejected_5pct=[]
GoF survival: Cocoa–Cedi,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=Cocoa–Cedi,"families_not_rejected_5pct=['clayton', 'gumbel']"
GoF survival: Gold–Brent,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=Gold–Brent,families_not_rejected_5pct=[]
GoF survival: Gold–WTI,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=Gold–WTI,families_not_rejected_5pct=[]
GoF survival: Gold–Cedi,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=Gold–Cedi,"families_not_rejected_5pct=['gaussian', 't', 'clayton', 'gumbel']"
GoF survival: Brent–WTI,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=Brent–WTI,families_not_rejected_5pct=[]
GoF survival: Brent–Cedi,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=Brent–Cedi,"families_not_rejected_5pct=['gaussian', 't', 'clayton', 'gumbel']"
GoF survival: WTI–Cedi,/home/claude/writeup/repo/outputs/tables/copula_gof.csv,pair=WTI–Cedi,"families_not_rejected_5pct=['gaussian', 't', 'clayton', 'gumbel']"
AIC winner vs GoF survival cross-check (all 10 pairs),recomputed by merging copula_fits.csv 'best' column with copula_gof.csv 'not_rejected_5pct',,"6/10 pairs (all commodity-commodity + Brent-WTI): 0 families survive. Gold-Cedi/Brent-Cedi/WTI-Cedi: all 4 families survive. Cocoa-Cedi: 2 survive (clayton, gumbel); AIC winner (gaussian) is REJECTED."
Static tail dependence: Cocoa–Gold,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=Cocoa–Gold,"lambda_L_t=0.003, lambda_L_clayton=0.0, lambda_U_gumbel=0.058, lambda_L_empirical(q5%)=0.093, lambda_U_empirical(q95%)=0.06, best_family=t"
Static tail dependence: Cocoa–Brent,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=Cocoa–Brent,"lambda_L_t=0.0, lambda_L_clayton=0.001, lambda_U_gumbel=0.066, lambda_L_empirical(q5%)=0.167, lambda_U_empirical(q95%)=0.027, best_family=gaussian"
Static tail dependence: Cocoa–WTI,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=Cocoa–WTI,"lambda_L_t=0.0, lambda_L_clayton=0.0, lambda_U_gumbel=0.063, lambda_L_empirical(q5%)=0.14, lambda_U_empirical(q95%)=0.027, best_family=clayton"
Static tail dependence: Cocoa–Cedi,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=Cocoa–Cedi,"lambda_L_t=0.0, lambda_L_clayton=0.0, lambda_U_gumbel=0.0, lambda_L_empirical(q5%)=0.14, lambda_U_empirical(q95%)=0.047, best_family=gaussian"
Static tail dependence: Gold–Brent,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=Gold–Brent,"lambda_L_t=0.011, lambda_L_clayton=0.0, lambda_U_gumbel=0.073, lambda_L_empirical(q5%)=0.127, lambda_U_empirical(q95%)=0.053, best_family=t"
Static tail dependence: Gold–WTI,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=Gold–WTI,"lambda_L_t=0.023, lambda_L_clayton=0.0, lambda_U_gumbel=0.086, lambda_L_empirical(q5%)=0.14, lambda_U_empirical(q95%)=0.067, best_family=t"
Static tail dependence: Gold–Cedi,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=Gold–Cedi,"lambda_L_t=0.0, lambda_L_clayton=0.0, lambda_U_gumbel=0.001, lambda_L_empirical(q5%)=0.173, lambda_U_empirical(q95%)=0.06, best_family=clayton"
Static tail dependence: Brent–WTI,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=Brent–WTI,"lambda_L_t=0.788, lambda_L_clayton=0.847, lambda_U_gumbel=0.835, lambda_L_empirical(q5%)=0.979, lambda_U_empirical(q95%)=0.539, best_family=t"
Static tail dependence: Brent–Cedi,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=Brent–Cedi,"lambda_L_t=0.0, lambda_L_clayton=0.0, lambda_U_gumbel=0.0, lambda_L_empirical(q5%)=0.213, lambda_U_empirical(q95%)=0.053, best_family=t"
Static tail dependence: WTI–Cedi,/home/claude/writeup/repo/outputs/tables/tail_dependence.csv,row=WTI–Cedi,"lambda_L_t=0.0, lambda_L_clayton=0.0, lambda_U_gumbel=0.0, lambda_L_empirical(q5%)=0.18, lambda_U_empirical(q95%)=0.04, best_family=clayton"
"Mean lambda by q, lower tail",/home/claude/writeup/repo/outputs/tables/calm_stress_lower_qsens_bonferroni.csv,groupby(q).mean(),"{'lambda_calm': {0.025: 0.107, 0.05: 0.1454, 0.1: 0.1971}, 'lambda_stress': {0.025: 0.1146, 0.05: 0.149, 0.1: 0.1834}}"
"Nominally significant (5% uncorrected) cells, lower tail",/home/claude/writeup/repo/outputs/tables/calm_stress_lower_qsens_bonferroni.csv,significant_5pct==True rows,"[{'q': 0.05, 'pair': 'Gold–Cedi', 'difference': -0.0528}, {'q': 0.05, 'pair': 'Brent–Cedi', 'difference': -0.0528}, {'q': 0.05, 'pair': 'WTI–Cedi', 'difference': -0.0377}]"
"Bonferroni-significant cells, lower tail",/home/claude/writeup/repo/outputs/tables/calm_stress_lower_qsens_bonferroni.csv,significant_bonferroni==True rows,"[{'q': 0.05, 'pair': 'WTI–Cedi', 'difference': -0.0377, 'diff_lo_bonf': -0.1055, 'diff_hi_bonf': -0.0075}]"
"Mean lambda by q, upper tail",/home/claude/writeup/repo/outputs/tables/calm_stress_upper_qsens_bonferroni.csv,groupby(q).mean(),"{'lambda_calm': {0.025: 0.1055, 0.05: 0.1319, 0.1: 0.1907}, 'lambda_stress': {0.025: 0.0688, 0.05: 0.1032, 0.1: 0.1662}}"
"Nominally significant (5% uncorrected) cells, upper tail",/home/claude/writeup/repo/outputs/tables/calm_stress_upper_qsens_bonferroni.csv,significant_5pct==True rows,"[{'q': 0.025, 'pair': 'Gold–Brent', 'difference': -0.0603}, {'q': 0.025, 'pair': 'Gold–WTI', 'difference': -0.0754}, {'q': 0.1, 'pair': 'Cocoa–Brent', 'difference': -0.0821}]"
"Bonferroni-significant cells, upper tail",/home/claude/writeup/repo/outputs/tables/calm_stress_upper_qsens_bonferroni.csv,significant_bonferroni==True rows,[]
Bonferroni correction scope,src/tailrisk/inference.py + scripts/05_publication_analysis.py (bonf_m=len(pairs)=10 passed per call),code inspection,"Correction is per (q,tail) slice across the 10 pairs only (m=10); NOT family-wise across all 60 (q x tail x pair) cells tested in the full sweep."
"Original (pre-sweep) calm-vs-stress table, q=0.10 lower tail, from 02_run_pipeline.py (different bootstrap seed than 05_publication_analysis.py)",/home/claude/writeup/repo/outputs/tables/calm_vs_stress_tail_dependence.csv,all 10 rows,"[{'pair': 'Cocoa–Gold', 'lambda_L_calm': 0.143, 'calm_95CI': '[0.11, 0.18]', 'lambda_L_stress': 0.201, 'stress_95CI': '[0.09, 0.29]', 'difference': 0.057, 'diff_95CI': '[-0.08, 0.17]', 'significant_5pct': False, 'ratio': 1.401}, {'pair': 'Cocoa–Brent', 'lambda_L_calm': 0.162, 'calm_95CI': '[0.12, 0.20]', 'lambda_L_stress': 0.115, 'stress_95CI': '[0.03, 0.23]', 'difference': -0.047, 'diff_95CI': '[-0.13, 0.06]', 'significant_5pct': False, 'ratio': 0.707}, {'pair': 'Cocoa–WTI', 'lambda_L_calm': 0.158, 'calm_95CI': '[0.11, 0.20]', 'lambda_L_stress': 0.143, 'stress_95CI': '[0.06, 0.27]', 'difference': -0.015, 'diff_95CI': '[-0.12, 0.13]', 'significant_5pct': False, 'ratio': 0.905}, {'pair': 'Cocoa–Cedi', 'lambda_L_calm': 0.09, 'calm_95CI': '[0.06, 0.12]', 'lambda_L_stress': 0.086, 'stress_95CI': '[0.00, 0.14]', 'difference': -0.004, 'diff_95CI': '[-0.11, 0.06]', 'significant_5pct': False, 'ratio': 0.951}, {'pair': 'Gold–Brent', 'lambda_L_calm': 0.173, 'calm_95CI': '[0.13, 0.22]', 'lambda_L_stress': 0.172, 'stress_95CI': '[0.06, 0.32]', 'difference': -0.001, 'diff_95CI': '[-0.14, 0.14]', 'significant_5pct': False, 'ratio': 0.992}, {'pair': 'Gold–WTI', 'lambda_L_calm': 0.173, 'calm_95CI': '[0.12, 0.21]', 'lambda_L_stress': 0.229, 'stress_95CI': '[0.11, 0.34]', 'difference': 0.056, 'diff_95CI': '[-0.07, 0.19]', 'significant_5pct': False, 'ratio': 1.323}, {'pair': 'Gold–Cedi', 'lambda_L_calm': 0.094, 'calm_95CI': '[0.06, 0.14]', 'lambda_L_stress': 0.029, 'stress_95CI': '[0.00, 0.09]', 'difference': -0.066, 'diff_95CI': '[-0.12, 0.01]', 'significant_5pct': False, 'ratio': 0.304}, {'pair': 'Brent–WTI', 'lambda_L_calm': 0.757, 'calm_95CI': '[0.72, 0.80]', 'lambda_L_stress': 0.802, 'stress_95CI': '[0.63, 0.89]', 'difference': 0.045, 'diff_95CI': '[-0.14, 0.14]', 'significant_5pct': False, 'ratio': 1.059}, {'pair': 'Brent–Cedi', 'lambda_L_calm': 0.121, 'calm_95CI': '[0.09, 0.16]', 'lambda_L_stress': 0.029, 'stress_95CI': '[0.00, 0.14]', 'difference': -0.092, 'diff_95CI': '[-0.15, 0.02]', 'significant_5pct': False, 'ratio': 0.238}, {'pair': 'WTI–Cedi', 'lambda_L_calm': 0.098, 'calm_95CI': '[0.07, 0.14]', 'lambda_L_stress': 0.029, 'stress_95CI': '[0.00, 0.11]', 'difference': -0.069, 'diff_95CI': '[-0.14, 0.01]', 'significant_5pct': False, 'ratio': 0.292}]"
Upper-tail calm vs 2024-only window (q=0.10),/home/claude/writeup/repo/outputs/tables/upper_tail_2024_window.csv,all 10 rows,"[{'pair': 'Cocoa–Gold', 'lambda_calm': 0.1394, 'calm_lo': 0.1017, 'calm_hi': 0.1791, 'lambda_stress': 0.0763, 'stress_lo': 0.0, 'stress_hi': 0.1908, 'difference': -0.0631, 'diff_lo': -0.1658, 'diff_hi': 0.0474, 'significant_5pct': False, 'diff_lo_bonf': -0.1771, 'diff_hi_bonf': 0.1207, 'significant_bonferroni': False}, {'pair': 'Cocoa–Brent', 'lambda_calm': 0.1394, 'calm_lo': 0.1017, 'calm_hi': 0.1771, 'lambda_stress': 0.0382, 'stress_lo': 0.0, 'stress_hi': 0.1527, 'difference': -0.1012, 'diff_lo': -0.1658, 'diff_hi': 0.0095, 'significant_5pct': False, 'diff_lo_bonf': -0.1762, 'diff_hi_bonf': 0.0552, 'significant_bonferroni': False}, {'pair': 'Cocoa–WTI', 'lambda_calm': 0.1432, 'calm_lo': 0.098, 'calm_hi': 0.1696, 'lambda_stress': 0.0763, 'stress_lo': 0.0, 'stress_hi': 0.1527, 'difference': -0.0668, 'diff_lo': -0.1469, 'diff_hi': 0.0343, 'significant_5pct': False, 'diff_lo_bonf': -0.162, 'diff_hi_bonf': 0.075, 'significant_bonferroni': False}, {'pair': 'Cocoa–Cedi', 'lambda_calm': 0.1017, 'calm_lo': 0.0678, 'calm_hi': 0.1356, 'lambda_stress': 0.0382, 'stress_lo': 0.0, 'stress_hi': 0.1527, 'difference': -0.0636, 'diff_lo': -0.1243, 'diff_hi': 0.0582, 'significant_5pct': False, 'diff_lo_bonf': -0.1356, 'diff_hi_bonf': 0.0932, 'significant_bonferroni': False}, {'pair': 'Gold–Brent', 'lambda_calm': 0.1545, 'calm_lo': 0.1093, 'calm_hi': 0.2035, 'lambda_stress': 0.1908, 'stress_lo': 0.0, 'stress_hi': 0.2672, 'difference': 0.0364, 'diff_lo': -0.1618, 'diff_hi': 0.1182, 'significant_5pct': False, 'diff_lo_bonf': -0.2044, 'diff_hi_bonf': 0.1734, 'significant_bonferroni': False}, {'pair': 'Gold–WTI', 'lambda_calm': 0.1733, 'calm_lo': 0.1319, 'calm_hi': 0.2223, 'lambda_stress': 0.1908, 'stress_lo': 0.0382, 'stress_hi': 0.3053, 'difference': 0.0175, 'diff_lo': -0.1429, 'diff_hi': 0.1358, 'significant_5pct': False, 'diff_lo_bonf': -0.1832, 'diff_hi_bonf': 0.1877, 'significant_bonferroni': False}, {'pair': 'Gold–Cedi', 'lambda_calm': 0.113, 'calm_lo': 0.0791, 'calm_hi': 0.1432, 'lambda_stress': 0.1145, 'stress_lo': 0.0, 'stress_hi': 0.1908, 'difference': 0.0015, 'diff_lo': -0.1281, 'diff_hi': 0.1026, 'significant_5pct': False, 'diff_lo_bonf': -0.1469, 'diff_hi_bonf': 0.1721, 'significant_bonferroni': False}, {'pair': 'Brent–WTI', 'lambda_calm': 0.731, 'calm_lo': 0.6933, 'calm_hi': 0.7913, 'lambda_stress': 0.916, 'stress_lo': 0.687, 'stress_hi': 0.9542, 'difference': 0.1851, 'diff_lo': -0.0628, 'diff_hi': 0.2235, 'significant_5pct': False, 'diff_lo_bonf': -0.1217, 'diff_hi_bonf': 0.2735, 'significant_bonferroni': False}, {'pair': 'Brent–Cedi', 'lambda_calm': 0.1055, 'calm_lo': 0.0716, 'calm_hi': 0.1394, 'lambda_stress': 0.1527, 'stress_lo': 0.0, 'stress_hi': 0.2672, 'difference': 0.0472, 'diff_lo': -0.1032, 'diff_hi': 0.1579, 'significant_5pct': False, 'diff_lo_bonf': -0.1272, 'diff_hi_bonf': 0.2168, 'significant_bonferroni': False}, {'pair': 'WTI–Cedi', 'lambda_calm': 0.1055, 'calm_lo': 0.0716, 'calm_hi': 0.1469, 'lambda_stress': 0.1527, 'stress_lo': 0.0382, 'stress_hi': 0.2672, 'difference': 0.0472, 'diff_lo': -0.0899, 'diff_hi': 0.1767, 'significant_5pct': False, 'diff_lo_bonf': -0.13, 'diff_hi_bonf': 0.2346, 'significant_bonferroni': False}]"
Robustness (weekly): nominally significant pairs,/home/claude/writeup/repo/outputs/tables/robustness_weekly_lower.csv,significant_5pct==True,['Brent–Cedi']
Robustness (weekly): Bonferroni-significant pairs,/home/claude/writeup/repo/outputs/tables/robustness_weekly_lower.csv,significant_bonferroni==True,['Brent–Cedi']
Robustness (exclude-COVID): nominally significant pairs,/home/claude/writeup/repo/outputs/tables/robustness_excl_covid_lower.csv,significant_5pct==True,[]
